family_group,family,task_id,m,n,config_id,block_size,num_warps,num_stages,shape_json,config_json,median_ms,effective_gbps,score,validation_error
A,softmax,softmax_m4096_n256,4096,256,0,256,1,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 1, ""num_warps"": 1}",0.007104000076651573,590.4144080438917,4.947097262502351,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,1,256,1,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 2, ""num_warps"": 1}",0.007135999854654074,587.7668281151225,4.9426029040724115,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,2,256,1,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 3, ""num_warps"": 1}",0.007135999854654074,587.7668281151225,4.9426029040724115,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,3,256,1,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 4, ""num_warps"": 1}",0.007135999854654074,587.7668281151225,4.9426029040724115,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,4,256,2,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 1, ""num_warps"": 2}",0.0072639998979866505,577.4096997389177,4.924824651726833,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,5,256,2,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 2, ""num_warps"": 2}",0.007296000141650438,574.8771818213262,4.920429006795299,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,6,256,2,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 3, ""num_warps"": 2}",0.0072639998979866505,577.4096997389177,4.924824651726833,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,7,256,2,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 4, ""num_warps"": 2}",0.007296000141650438,574.8771818213262,4.920429006795299,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,8,256,4,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 1, ""num_warps"": 4}",0.007391999941319227,567.4112599156022,4.90735695258117,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,9,256,4,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 256, ""num_stages"": 2, ""num_warps"": 4}",0.007391999941319227,567.4112599156022,4.90735695258117,3.0517578125e-05
